ticker,country,company_name,industry,sector,sub_industry,exchange,currency,market_cap_category,active,is_etf,yahoo_ticker,industry_keyword_1,industry_keyword_2,industry_keyword_3,ai_generated,ai_enhanced_at,competitor_1_name,competitor_1_ticker,competitor_2_name,competitor_2_ticker,competitor_3_name,competitor_3_ticker,upstream_1_name,upstream_1_ticker,upstream_2_name,upstream_2_ticker,downstream_1_name,downstream_1_ticker,downstream_2_name,downstream_2_ticker,geographic_markets,subsidiaries,financial_last_price,financial_price_change_pct,financial_yesterday_return_pct,financial_ytd_return_pct,financial_market_cap,financial_enterprise_value,financial_volume,financial_avg_volume,financial_analyst_target,financial_analyst_range_low,financial_analyst_range_high,financial_analyst_count,financial_analyst_recommendation,financial_snapshot_date,created_at,updated_at,data_source
CANG,CA,Cango Inc.,Consumer Finance,Financials,Consumer Finance,,,,FALSE,FALSE,CANG,China Auto Sales,China Auto Loan Penetration,China Interest Rates,TRUE,2025-11-08T15:30:15.537623,Yixin Group Ltd,2858.HK,Autohome Inc.,ATHM,,,Industrial and Commercial Bank of China Limited,1398.HK,,,"China Grand Automotive Services Group Co., Ltd.",600297.SS,Zhongsheng Group Holdings Limited,0881.HK,China (major),,,,,,,,,,,,,,,,,,csv_import
CAPL,CA,CrossAmerica Partners LP,Oil & Gas Refining & Marketing,Energy,Oil & Gas Refining & Marketing,,,,FALSE,FALSE,CAPL,gasoline demand,refining margins,convenience store sales,TRUE,2025-11-08T15:31:09.329764,Sunoco LP,SUN,Global Partners LP,GLP,"Casey's General Stores, Inc.",CASY,Valero Energy Corporation,VLO,Marathon Petroleum Corporation,MPC,,,,,"United States - East (major), United States - Midwest (major)",,,,,,,,,,,,,,,,,,csv_import
CAPN,CA,Cayson Acquisition Corp,Capital Markets,Financials,Asset Management & Custody Banks,,,,FALSE,FALSE,CAPN,SPAC merger activity,interest rates,IPO market sentiment,TRUE,2025-11-08T15:31:09.329777,,,,,,,,,,,,,,,Global (major),,,,,,,,,,,,,,,,,,csv_import
CAPR,CA,"Capricor Therapeutics, Inc.",Biotechnology,Health Care,Biotechnology,,,,FALSE,FALSE,CAPR,clinical trial results,FDA regulatory decisions,Duchenne Muscular Dystrophy treatment,TRUE,2025-11-08T15:31:09.329782,"Sarepta Therapeutics, Inc.",SRPT,"PTC Therapeutics, Inc.",PTCT,Solid Biosciences Inc.,SLDB,,,,,,,,,"United States (major), Europe (minor)",,,,,,,,,,,,,,,,,,csv_import
CAPS,CA,Capstone Holding Corp.,Construction Materials,Materials,Construction Materials,,,,FALSE,FALSE,CAPS,construction activity,cement prices,infrastructure spending,TRUE,2025-11-08T15:31:09.329786,"Summit Materials, Inc.",SUM,Eagle Materials Inc.,EXP,,,"Cemex, S.A.B. de C.V.",CX,CRH plc,CRH,,,,,United States - Southwest (major),"American Pavement Specialists, Lone Star Materials",,,,,,,,,,,,,,,,,csv_import
CAPT,CA,Captivision Inc.,Automobiles & Components,Consumer Discretionary,Automotive Parts & Equipment,,,,FALSE,FALSE,CAPT,auto production volumes,in-vehicle infotainment demand,semiconductor supply,TRUE,2025-11-08T15:31:09.329791,Visteon Corporation,VC,Aptiv PLC,APTV,Garmin Ltd.,GRMN,NXP Semiconductors N.V.,NXPI,,,General Motors Company,GM,Stellantis N.V.,STLA,"China (major), Europe (major), North America (major)",Hunchun Dongil Automotive Parts Co.,,,,,,,,,,,,,,,,,csv_import
CAR,CA,"Avis Budget Group, Inc.",Rental & Leasing Services,Industrials,Rental & Leasing Services,,,,FALSE,FALSE,CAR,airline passenger demand,used car prices,new car prices,TRUE,2025-11-08T15:31:52.436275,"Hertz Global Holdings, Inc.",HTZ,Amerco,UHAL,,,Ford Motor Company,F,General Motors Company,GM,,,,,"North America (major), Europe (major), International (minor)","Avis Rent A Car System, Budget Rent A Car System, Zipcar",,,,,,,,,,,,,,,,,csv_import
CARE,CA,"Carter Bankshares, Inc.",Banks - Regional,Financials,Regional Banks,,,,FALSE,FALSE,CARE,interest rates,loan growth,credit quality,TRUE,2025-11-08T15:31:52.436289,Atlantic Union Bankshares Corporation,AUB,"Pinnacle Financial Partners, Inc.",PNFP,TowneBank,TOWN,"Fiserv, Inc.",FI,,,,,,,United States - Southeast (major),Carter Bank & Trust,,,,,,,,,,,,,,,,,csv_import
CARG,CA,"CarGurus, Inc.",Auto & Truck Dealerships,Consumer Discretionary,Internet & Direct Marketing Retail,,,,FALSE,FALSE,CARG,auto dealer advertising,used car sales,digital advertising spending,TRUE,2025-11-08T15:31:52.436294,Cars.com Inc.,CARS,"TrueCar, Inc.",TRUE,"Vroom, Inc.",VRM,"AutoNation, Inc.",AN,"Penske Automotive Group, Inc.",PAG,,,,,"United States (major), Canada (minor), United Kingdom (minor)","Autolist, CarOffer",,,,,,,,,,,,,,,,,csv_import
CARL,CA,"Carlsmed, Inc.",Medical Devices,Healthcare,Medical Devices,,,,FALSE,FALSE,CARL,spinal surgery volumes,medical device reimbursement,FDA approvals,TRUE,2025-11-08T15:31:52.436299,Medtronic plc,MDT,Stryker Corporation,SYK,"Globus Medical, Inc.",GMED,,,,,"HCA Healthcare, Inc.",HCA,Tenet Healthcare Corporation,THC,United States (major),,,,,,,,,,,,,,,,,,csv_import
CARM,CA,"Carisma Therapeutics, Inc.",Biotechnology,Healthcare,Biotechnology,,,,FALSE,FALSE,CARM,clinical trial results,FDA approvals,biotech funding,TRUE,2025-11-08T15:31:52.436305,"Fate Therapeutics, Inc.",FATE,"Iovance Biotherapeutics, Inc.",IOVA,CRISPR Therapeutics AG,CRSP,"Catalent, Inc.",CTLT,Lonza Group AG,LONN.SW,"Moderna, Inc.",MRNA,,,United States (major),,,,,,,,,,,,,,,,,,csv_import
CARR,CA,Carrier Global Corporation,Building Products & Equipment,Industrials,Building Products,,,,FALSE,FALSE,CARR,Commercial Construction Activity,Residential Construction Activity,Refrigerant Regulations,TRUE,2025-11-08T15:32:44.593882,Trane Technologies plc,TT,Johnson Controls International plc,JCI,Lennox International Inc.,LII,,,,,"Watsco, Inc.",WSO,Ferguson plc,FERG,"North America (major), Europe (major), Asia-Pacific (minor)","Carrier, Kidde, Automated Logic",,,,,,,,,,,,,,,,,csv_import
CARS,CA,Cars.com Inc.,Internet Content & Information,Communication Services,Interactive Media & Services,,,,FALSE,FALSE,CARS,used car prices,Auto Dealership Advertising,New Auto Sales,TRUE,2025-11-08T15:32:44.593899,"CarGurus, Inc.",CARG,"TrueCar, Inc.",TRUE,Carvana Co.,CVNA,,,,,,,,,United States (major),"Dealer Inspire, Accu-Trade",,,,,,,,,,,,,,,,,csv_import
CART,CA,Maplebear Inc.,Internet Retail,Consumer Discretionary,Internet & Direct Marketing Retail,,,,FALSE,FALSE,CART,Online Grocery Sales,CPG Advertising Spend,Gig Economy Labor Costs,TRUE,2025-11-08T15:32:44.593908,"DoorDash, Inc.",DASH,"Uber Technologies, Inc.",UBER,"Amazon.com, Inc.",AMZN,The Kroger Co.,KR,"Albertsons Companies, Inc.",ACI,The Procter & Gamble Company,PG,"PepsiCo, Inc.",PEP,"United States (major), Canada (major)","Instacart, Caper AI",,,,,,,,,,,,,,,,,csv_import
CAR-UN.TO,CA,Canadian Apartment Properties Real Estate Investment Trust,REIT - Residential,Real Estate,Residential REITs,,,,FALSE,FALSE,CAR-UN.TO,Apartment Rental Rates,interest rates,Housing Affordability,TRUE,2025-11-08T15:32:44.593916,InterRent Real Estate Investment Trust,IIP-UN.TO,Minto Apartment Real Estate Investment Trust,MI-UN.TO,Killam Apartment Real Estate Investment Trust,KMP-UN.TO,,,,,,,,,"Canada (major), Netherlands (minor)",,,,,,,,,,,,,,,,,,csv_import
CARV,CA,"Carver Bancorp, Inc.",Banks - Regional,Financials,Thrifts & Mortgage Finance,,,,FALSE,FALSE,CARV,interest rates,Loan Demand,Credit Quality,TRUE,2025-11-08T15:32:44.593920,Broadway Financial Corporation,BYFC,Flushing Financial Corporation,FFIC,,,,,,,,,,,United States - New York City (major),Carver Federal Savings Bank,,,,,,,,,,,,,,,,,csv_import
CASH,CA,"Pathward Financial, Inc.",Banks - Regional,Financials,Regional Banks,,,,FALSE,FALSE,CASH,interest rates,fintech funding,commercial loan demand,TRUE,2025-11-08T15:33:33.284396,"The Bancorp, Inc.",TBBK,"Live Oak Bancshares, Inc.",LOB,Webster Financial Corporation,WBS,,,,,"Block, Inc.",SQ,"SoFi Technologies, Inc.",SOFI,United States (major),"Pathward, N.A.",,,,,,,,,,,,,,,,,csv_import
CASI,CA,"CASI Pharmaceuticals, Inc.",Biotechnology,Healthcare,Biotechnology,,,,FALSE,FALSE,CASI,China drug approvals,oncology drug pricing,biotech funding,TRUE,2025-11-08T15:33:33.284419,"BeiGene, Ltd.",BGNE,Zai Lab Limited,ZLAB,HUTCHMED (China) Limited,HCM,,,,,,,,,"China (major), United States (minor)",,,,,,,,,,,,,,,,,,csv_import
CASS,CA,"Cass Information Systems, Inc.",Specialty Business Services,Industrials,Transaction and Payment Processing Services,,,,FALSE,FALSE,CASS,freight volumes,interest rates,utility payment processing,TRUE,2025-11-08T15:33:33.284428,U.S. Bancorp,USB,"FleetCor Technologies, Inc.",FLT,WEX Inc.,WEX,,,,,"The Home Depot, Inc.",HD,General Motors Company,GM,"North America (major), Europe (minor)",Cass Commercial Bank,,,,,,,,,,,,,,,,,csv_import
CAS.TO,CA,Cascades Inc.,Packaging & Containers,Consumer Discretionary,Paper & Plastic Packaging Products & Materials,,,,FALSE,FALSE,CAS.TO,containerboard prices,recycled fiber costs,tissue product demand,TRUE,2025-11-08T15:33:33.284435,WestRock Company,WRK,Packaging Corporation of America,PKG,Kimberly-Clark Corporation,KMB,"Waste Management, Inc.",WM,,,The Procter & Gamble Company,PG,Walmart Inc.,WMT,"Canada (major), United States (major)","Cascades Containerboard Packaging, Cascades Tissue Group",,,,,,,,,,,,,,,,,csv_import
CASY,CA,"Casey's General Stores, Inc.",Specialty Retail,Consumer Discretionary,Convenience Stores & Gas Stations,,,,FALSE,FALSE,CASY,gasoline retail margins,gasoline demand,food commodity prices,TRUE,2025-11-08T15:33:33.284443,Alimentation Couche-Tard Inc.,ATD.TO,Murphy USA Inc.,MUSA,Marathon Petroleum Corporation,MPC,Valero Energy Corporation,VLO,Performance Food Group Company,PFGC,,,,,United States - Midwest (major),,,,,,,,,,,,,,,,,,csv_import
CAT,US,Caterpillar Inc.,Machinery,Industrials,Farm & Heavy Construction Machinery,,,,FALSE,FALSE,CAT,construction activity,mining capital expenditure,infrastructure spending,TRUE,2025-11-08T15:34:13.625828,Deere & Company,DE,Komatsu Ltd.,KMTUY,CNH Industrial N.V.,CNHI,Nucor Corporation,NUE,,,Finning International Inc.,FTT.TO,BHP Group Limited,BHP,"North America (major), EAME (major), Asia/Pacific (major), Latin America (major)","Solar Turbines, Progress Rail, Cat Financial",,,,,,,,,,,,,,,,,csv_import
CATO,CA,The Cato Corporation,Retailing,Consumer Discretionary,Apparel Retail,,,,FALSE,FALSE,CATO,consumer discretionary spending,retail foot traffic,cotton prices,TRUE,2025-11-08T15:34:13.625842,"The TJX Companies, Inc.",TJX,"Ross Stores, Inc.",ROST,"Burlington Stores, Inc.",BURL,,,,,,,,,United States - Southeast (major),"Cato Fashions, Versona, It's Fashion",,,,,,,,,,,,,,,,,csv_import
CATX,CA,"Perspective Therapeutics, Inc.","Pharmaceuticals, Biotechnology & Life Sciences",Healthcare,Medical Devices,,,,FALSE,FALSE,CATX,radiopharmaceutical drug approvals,oncology clinical trial data,biotech funding environment,TRUE,2025-11-08T15:34:13.625848,"Lantheus Holdings, Inc.",LNTH,"Actinium Pharmaceuticals, Inc.",ATNM,Novartis AG,NVS,,,,,,,,,United States (major),,,,,,,,,,,,,,,,,,csv_import
CATY,CA,Cathay General Bancorp,Banks,Financials,Banks - Regional,,,,FALSE,FALSE,CATY,interest rates,loan growth,credit quality,TRUE,2025-11-08T15:34:13.625853,"East West Bancorp, Inc.",EWBC,"Hope Bancorp, Inc.",HOPE,,,"Fiserv, Inc.",FI,,,,,,,"United States - California (major), United States - New York (major), China (minor)",Cathay Bank,,,,,,,,,,,,,,,,,csv_import
CAVA,CA,"CAVA Group, Inc.","Hotels, Restaurants & Leisure",Consumer Discretionary,Restaurants,,,,FALSE,FALSE,CAVA,restaurant traffic,food commodity prices,restaurant labor costs,TRUE,2025-11-08T15:34:13.625858,"Chipotle Mexican Grill, Inc.",CMG,"Sweetgreen, Inc.",SG,Shake Shack Inc.,SHAK,Performance Food Group Company,PFGC,,,"Amazon.com, Inc.",AMZN,,,United States (major),,,,,,,,,,,,,,,,,,csv_import
CB,CA,Chubb Limited,Insurance,Financials,Property & Casualty Insurance,,,,FALSE,FALSE,CB,insurance premiums,catastrophic weather events,investment yields,TRUE,2025-11-08T15:35:11.866982,"The Travelers Companies, Inc.",TRV,"American International Group, Inc.",AIG,The Progressive Corporation,PGR,"Everest Group, Ltd.",EG,RenaissanceRe Holdings Ltd.,RNR,,,,,"United States (major), Europe (major), Asia Pacific (major)","Chubb INA Holdings Inc., Federal Insurance Company, ACE Limited",,,,,,,,,,,,,,,,,csv_import
CBAN,CA,"Colony Bankcorp, Inc.",Banks,Financials,Regional Banks,,,,FALSE,FALSE,CBAN,interest rates,loan demand,credit quality,TRUE,2025-11-08T15:35:11.866996,Ameris Bancorp,ABCB,"United Community Banks, Inc.",UCBI,Synovus Financial Corp.,SNV,"Fiserv, Inc.",FI,,,,,,,United States - Georgia (major),Colony Bank,,,,,,,,,,,,,,,,,csv_import
CBAT,CA,"CBAK Energy Technology, Inc.",Electrical Equipment,Industrials,Electrical Components & Equipment,,,,FALSE,FALSE,CBAT,lithium prices,electric vehicle sales,energy storage demand,TRUE,2025-11-08T15:35:11.867001,"Contemporary Amperex Technology Co., Limited",300750.SZ,"Microvast Holdings, Inc.",MVST,"EVE Energy Co., Ltd.",300014.SZ,Albemarle Corporation,ALB,Sociedad Química y Minera de Chile S.A.,SQM,,,,,"China (major), Europe (minor), North America (minor)","CBAK Power Battery Co Ltd, Dalian CBAK Power Battery Co Ltd",,,,,,,,,,,,,,,,,csv_import
CBFV,CA,"CB Financial Services, Inc.",Banks,Financials,Regional Banks,,,,FALSE,FALSE,CBFV,interest rates,loan demand,credit quality,TRUE,2025-11-08T15:35:11.867006,"WesBanco, Inc.",WSBC,"S&T Bancorp, Inc.",STBA,F.N.B. Corporation,FNB,"Jack Henry & Associates, Inc.",JKHY,,,,,,,"United States - Pennsylvania (major), United States - West Virginia (major), United States - Ohio (minor)",Community Bank,,,,,,,,,,,,,,,,,csv_import
CBIO,CA,"Crescent Biopharma, Inc.",Biotechnology,Healthcare,Biotechnology,,,,FALSE,FALSE,CBIO,clinical trial results,drug regulatory approval,biotech funding,TRUE,2025-11-08T15:35:11.867011,"MEI Pharma, Inc.",MEIP,Agenus Inc.,AGEN,"Zentalis Pharmaceuticals, Inc.",ZNTL,IQVIA Holdings Inc.,IQV,"Catalent, Inc.",CTLT,Bristol-Myers Squibb Company,BMY,"Merck & Co., Inc.",MRK,United States (major),,,,,,,,,,,,,,,,,,csv_import
CBL,CA,"CBL & Associates Properties, Inc.",Equity Real Estate Investment Trusts (REITs),Real Estate,Retail REITs,,,,FALSE,FALSE,CBL,Retail Vacancy Rates,Retail Sales Growth,Interest Rates,TRUE,2025-11-08T15:36:05.774218,Macerich Company,MAC,Simon Property Group Inc.,SPG,Kimco Realty Corporation,KIM,,,,,"Bath & Body Works, Inc.",BBWI,"Foot Locker, Inc.",FL,"United States - Southeast (major), United States - Midwest (major)",CBL & Associates Limited Partnership,,,,,,,,,,,,,,,,,csv_import
CBLL,CA,"CeriBell, Inc.",Health Care Equipment & Supplies,Health Care,Health Care Equipment,,,,FALSE,FALSE,CBLL,Hospital Capital Spending,EEG Procedure Volume,Medical Device Reimbursement,TRUE,2025-11-08T15:36:05.774237,Nihon Kohden Corporation,NHNKY,Compumedics Limited,CMP.AX,Medtronic plc,MDT,,,,,"HCA Healthcare, Inc.",HCA,Tenet Healthcare Corporation,THC,"United States (major), Europe (minor)",,,,,,,,,,,,,,,,,,csv_import
CBNA,CA,"Chain Bridge Bancorp, Inc.",Banks,Financials,Regional Banks,,,,FALSE,FALSE,CBNA,Interest Rates,Commercial Loan Demand,Credit Quality,TRUE,2025-11-08T15:36:05.774245,"Eagle Bancorp, Inc.",EGBN,"Sandy Spring Bancorp, Inc.",SASR,Burke & Herbert Financial Services Corp.,BHRB,"Fiserv, Inc.",FI,,,,,,,United States - Washington D.C. Metro (major),"Chain Bridge Bank, N.A.",,,,,,,,,,,,,,,,,csv_import
CBNK,CA,"Capital Bancorp, Inc.",Banks,Financials,Regional Banks,,,,FALSE,FALSE,CBNK,Interest Rates,Commercial Loan Demand,Credit Card Delinquencies,TRUE,2025-11-08T15:36:05.774251,"Eagle Bancorp, Inc.",EGBN,"Sandy Spring Bancorp, Inc.",SASR,Burke & Herbert Financial Services Corp.,BHRB,"Fiserv, Inc.",FI,,,,,,,"United States - Mid-Atlantic (major), United States - National (major)","Capital Bank, N.A.",,,,,,,,,,,,,,,,,csv_import
CBOE,CA,"Cboe Global Markets, Inc.",Capital Markets,Financials,Financial Exchanges & Data,,,,FALSE,FALSE,CBOE,Equity Trading Volumes,Options Trading Volumes,Market Volatility,TRUE,2025-11-08T15:36:05.774259,"Nasdaq, Inc.",NDAQ,"Intercontinental Exchange, Inc.",ICE,CME Group Inc.,CME,,,,,The Charles Schwab Corporation,SCHW,"Interactive Brokers Group, Inc.",IBKR,"North America (major), Europe (major), Asia-Pacific (minor)","Cboe Exchange, Inc., Cboe Futures Exchange, BATS Global Markets",,,,,,,,,,,,,,,,,csv_import
CBRE,CA,"CBRE Group, Inc.",Real Estate Management & Development,Real Estate,Real Estate Services,,,,FALSE,FALSE,CBRE,commercial real estate transactions,office vacancy rates,commercial property prices,TRUE,2025-11-08T15:36:54.304554,Jones Lang LaSalle Incorporated,JLL,Cushman & Wakefield plc,CWK,Colliers International Group Inc.,CIGI,,,,,,,,,"United States (major), Europe (major), Asia Pacific (major)","CBRE Advisory Services, CBRE Global Workplace Solutions, CBRE Investment Management",,,,,,,,,,,,,,,,,csv_import
CBRL,CA,"Cracker Barrel Old Country Store, Inc.","Hotels, Restaurants & Leisure",Consumer Discretionary,Restaurants,,,,FALSE,FALSE,CBRL,restaurant traffic,food commodity prices,labor costs,TRUE,2025-11-08T15:36:54.304568,"Darden Restaurants, Inc.",DRI,Denny's Corporation,DENN,"Brinker International, Inc.",EAT,Sysco Corporation,SYY,US Foods Holding Corp.,USFD,,,,,United States (major),Maple Street Biscuit Company,,,,,,,,,,,,,,,,,csv_import
CBSH,CA,"Commerce Bancshares, Inc.",Banks,Financials,Regional Banks,,,,FALSE,FALSE,CBSH,interest rates,loan growth,credit quality,TRUE,2025-11-08T15:36:54.304573,UMB Financial Corporation,UMBF,Old National Bancorp,ONB,U.S. Bancorp,USB,"Fiserv, Inc.",FI,,,,,,,United States - Midwest (major),"Commerce Bank, Commerce Trust Company",,,,,,,,,,,,,,,,,csv_import
CBT,CA,Cabot Corporation,Chemicals,Materials,Specialty Chemicals,,,,FALSE,FALSE,CBT,tire production volumes,oil price,automotive production,TRUE,2025-11-08T15:36:54.304578,Orion S.A.,OEC,Ashland Inc.,ASH,Celanese Corporation,CE,,,,,The Goodyear Tire & Rubber Company,GT,Michelin,ML.PA,Global operations,"Reinforcement Materials, Performance Chemicals",,,,,,,,,,,,,,,,,csv_import
CBU,CA,"Community Financial System, Inc.",Banks,Financials,Regional Banks,,,,FALSE,FALSE,CBU,interest rates,loan growth,credit quality,TRUE,2025-11-08T15:36:54.304582,M&T Bank Corporation,MTB,NBT Bancorp Inc.,NBTB,Arrow Financial Corporation,AROW,"Jack Henry & Associates, Inc.",JKHY,,,,,,,United States - Northeast (major),"Community Bank, N.A., Benefit Plans Administrative Services, Inc. (BPAS), OneGroup NY, Inc.",,,,,,,,,,,,,,,,,csv_import
CBUS,CA,"Cibus, Inc.",Biotechnology,Healthcare,Biotechnology,,,,FALSE,FALSE,CBUS,crop commodity prices,gene editing regulation,herbicide resistance,TRUE,2025-11-09T03:25:35.105714,"Corteva, Inc.",CTVA,Bayer Aktiengesellschaft,BAYRY,"Benson Hill, Inc.",BHIL,,,,,"Corteva, Inc.",CTVA,,,"North America (major), South America (minor)",,,,,,,,,,,,,,,,,,csv_import
CBZ,CA,"CBIZ, Inc.",Professional Services,Industrials,Human Resource & Employment Services,,,,FALSE,FALSE,CBZ,SMB business sentiment,corporate tax changes,employee benefit costs,TRUE,2025-11-09T03:25:35.105722,"Insperity, Inc.",NSP,"Marsh & McLennan Companies, Inc.",MMC,"Resources Connection, Inc.",RGP,,,,,,,,,United States (major),,,,,,,,,,,,,,,,,,csv_import
CC,CA,The Chemours Company,Chemicals,Materials,Specialty Chemicals,,,,FALSE,FALSE,CC,titanium dioxide prices,global construction activity,refrigerant regulations,TRUE,2025-11-09T03:25:35.105731,Tronox Holdings plc,TROX,"Kronos Worldwide, Inc.",KRO,Huntsman Corporation,HUN,Iluka Resources Limited,ILU.AX,Rio Tinto Group,RIO,The Sherwin-Williams Company,SHW,"PPG Industries, Inc.",PPG,"North America (major), Europe (major), Asia-Pacific (major)",,,,,,,,,,,,,,,,,,csv_import
CCAP,CA,"Crescent Capital BDC, Inc.",Capital Markets,Financials,Asset Management & Custody Banks,,,,FALSE,FALSE,CCAP,interest rates,private credit demand,credit quality,TRUE,2025-11-09T03:26:13.641433,Ares Capital Corporation,ARCC,FS KKR Capital Corp.,FSK,"Golub Capital BDC, Inc.",GBDC,,,,,,,,,United States (major),,,,,,,,,,,,,,,,,,csv_import
CCA.TO,CA,Cogeco Communications Inc.,Telecommunication Services,Communication Services,Integrated Telecommunication Services,,,,FALSE,FALSE,CCA.TO,broadband subscriber growth,telecom ARPU,telecom capital spending,TRUE,2025-11-09T03:26:13.641448,Rogers Communications Inc.,RCI-B.TO,Quebecor Inc.,QBR-B.TO,BCE Inc.,BCE.TO,"CommScope Holding Company, Inc.",COMM,,,,,,,"Canada (major), United States (major)","Breezeline, Cogeco Connexion",,,,,,,,,,,,,,,,,csv_import
CCB,CA,Coastal Financial Corporation,Banks,Financials,Regional Banks,,,,FALSE,FALSE,CCB,interest rates,fintech BaaS demand,loan growth,TRUE,2025-11-09T03:26:13.641453,"Columbia Banking System, Inc.",COLB,"Washington Federal, Inc.",WAFD,"HomeStreet, Inc.",HMST,,,,,"SoFi Technologies, Inc.",SOFI,"Block, Inc.",SQ,"United States - Pacific Northwest (major), United States - National (major)","Coastal Community Bank, CCBX",,,,,,,,,,,,,,,,,csv_import
CCBG,CA,"Capital City Bank Group, Inc.",Banks,Financials,Regional Banks,,,,FALSE,FALSE,CCBG,interest rates,loan growth,credit quality,TRUE,2025-11-09T03:26:13.641457,Ameris Bancorp,ABCB,Synovus Financial Corp.,SNV,"United Community Banks, Inc.",UCBI,,,,,,,,,United States - Southeast (major),Capital City Bank,,,,,,,,,,,,,,,,,csv_import
CCCC,CA,"C4 Therapeutics, Inc.","Pharmaceuticals, Biotechnology & Life Sciences",Healthcare,Biotechnology,,,,FALSE,FALSE,CCCC,clinical trial results,FDA drug approval,biotech funding,TRUE,2025-11-09T03:26:13.641462,"Arvinas, Inc.",ARVN,"Kymera Therapeutics, Inc.",KYMR,"Nurix Therapeutics, Inc.",NRIX,IQVIA Holdings Inc.,IQV,,,Roche Holding AG,RHHBY,"Merck & Co., Inc.",MRK,United States (major),,,,,,,,,,,,,,,,,,csv_import
CCCS,CA,CCC Intelligent Solutions Holdings Inc.,Software & Services,Information Technology,Application Software,,,,FALSE,FALSE,CCCS,Insurance Claims Volume,Auto Repair Costs,Insurance Tech Spending,TRUE,2025-11-09T03:26:58.545763,"Guidewire Software, Inc.",GWRE,"Verisk Analytics, Inc.",VRSK,,,,,,,The Progressive Corporation,PGR,The Allstate Corporation,ALL,"United States (major), China (minor)",,,,,,,,,,,,,,,,,,csv_import
CCCX,CA,Churchill Capital Corp X,Capital Markets,Financials,Shell Companies,,,,FALSE,FALSE,CCCX,SPAC Merger Activity,IPO Market Conditions,Interest Rates,TRUE,2025-11-09T03:26:58.545781,,,,,,,,,,,,,,,United States (major),,,,,,,,,,,,,,,,,,csv_import
CCEC,CA,Capital Clean Energy Carriers Corp.,Transportation,Industrials,Marine,,,,FALSE,FALSE,CCEC,LNG Shipping Rates,Global LNG Demand,Shipbuilding Costs,TRUE,2025-11-09T03:26:58.545790,Flex LNG Ltd.,FLNG,Golar LNG Limited,GLNG,Cool Company Ltd.,CLCO,"HD Hyundai Heavy Industries Co., Ltd.",329180.KS,"Hanwha Ocean Co., Ltd.",042660.KS,Shell plc,SHEL,"Cheniere Energy, Inc.",LNG,Global operations,,,,,,,,,,,,,,,,,,csv_import
CCEL,CA,"Cryo-Cell International, Inc.",Health Care Providers & Services,Health Care,Health Care Facilities,,,,FALSE,FALSE,CCEL,Birth Rates,Cellular Therapy Research,Cord Blood Banking Prices,TRUE,2025-11-09T03:26:58.545797,"The Cooper Companies, Inc.",COO,"PerkinElmer, Inc.",PKI,,,,,,,,,,,"United States (major), International (minor)",,,,,,,,,,,,,,,,,,csv_import
CCEP,CA,Coca-Cola Europacific Partners PLC,"Food, Beverage & Tobacco",Consumer Staples,Soft Drinks,,,,FALSE,FALSE,CCEP,Beverage Sales Volume,aluminum prices,sugar prices,TRUE,2025-11-09T03:26:58.545806,Coca-Cola HBC AG,CCH.L,"Arca Continental, S.A.B. de C.V.",AC.MX,"Coca-Cola Consolidated, Inc.",COKE,The Coca-Cola Company,KO,Ball Corporation,BALL,Tesco PLC,TSCO.L,Carrefour SA,CA.PA,"Western Europe (major), Australia (major), New Zealand (major), Indonesia (major)","Coca-Cola Amatil, Coca-Cola European Partners",,,,,,,,,,,,,,,,,csv_import
CCG,CA,Cheche Group Inc.,Internet Content & Information,Communication Services,Interactive Media & Services,,,,FALSE,FALSE,CCG,China Auto Insurance Premiums,Digital Insurance Penetration,China Insurance Regulation,TRUE,2025-11-09T03:27:42.332052,ZhongAn Online P&C Insurance Co Ltd,6060.HK,Waterdrop Inc.,WDH,Ping An Insurance Group Co of China Ltd,PNGAY,PICC Property and Casualty Company Limited,2328.HK,"China Pacific Insurance (Group) Co., Ltd.",2601.HK,,,,,China (major),,,,,,,,,,,,,,,,,,csv_import
CCI,CA,Crown Castle Inc.,REIT - Specialty,Real Estate,Specialized REITs,,,,FALSE,FALSE,CCI,Mobile Data Traffic Growth,Wireless Carrier Capex,5G Network Deployment,TRUE,2025-11-09T03:27:42.332070,American Tower Corporation,AMT,SBA Communications Corporation,SBAC,,,,,,,T-Mobile US Inc.,TMUS,AT&T Inc.,T,United States (major),,,,,,,,,,,,,,,,,,csv_import
CCII,CA,Cohen Circle Acquisition Corp. II,Shell Companies,Financials,Capital Markets,,,,FALSE,FALSE,CCII,SPAC Deal Volume,IPO Market Activity,Interest Rates,TRUE,2025-11-09T03:27:42.332076,,,,,,,,,,,,,,,United States (major),,,,,,,,,,,,,,,,,,csv_import
CCIX,CA,Churchill Capital Corp IX,Shell Companies,Financials,Capital Markets,,,,FALSE,FALSE,CCIX,SPAC Deal Volume,IPO Market Activity,Interest Rates,TRUE,2025-11-09T03:27:42.332081,,,,,,,,,,,,,,,United States (major),,,,,,,,,,,,,,,,,,csv_import
